.obs_key_id,match_column,match_value,rcmr_term,matched_pattern,match_mode,rule_rank,rule_label,column_rank,column_order,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection,n_obs_rows
78,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Subicular cortex - Sub,22170
78,dissection,Tail of Hippocampus (HiT) - Subicular cortex - Sub,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Subicular cortex - Sub,22170
88,dissection,Midbrain (M) - Inferior colliculus and nearby nuclei - IC,Colliculus inferior,Inferior colliculus|\bIC\b,regex_ci,10,inferior colliculus pattern,3,4,Midbrain,Midbrain,Midbrain,Midbrain (M) - Inferior colliculus and nearby nuclei - IC,32306
92,dissection,Midbrain (M) - Substantia Nigra - SN,Substantia nigra,Substantia Nigra|\bSN\b,regex_ci,10,substantia nigra pattern,3,4,Midbrain,Midbrain,Midbrain,Midbrain (M) - Substantia Nigra - SN,59505
93,dissection,"Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN",Substantia nigra,Substantia Nigra|\bSN\b,regex_ci,10,substantia nigra pattern,3,4,Midbrain,Midbrain,Midbrain,"Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN",49110
94,dissection,Midbrain (M) - Superior colliculus and nearby nuclei - SC,Colliculus superior,Superior colliculus|\bSC\b,regex_ci,10,superior colliculus pattern,3,4,Midbrain,Midbrain,Midbrain,Midbrain (M) - Superior colliculus and nearby nuclei - SC,29907
95,dissection,Midbrain (RN) - Red Nucleus - RN,Nucleus ruber,^Midbrain \(RN\) - Red Nucleus - RN$,regex_ci,20,red nucleus exact dissection,3,4,Midbrain,Midbrain,Midbrain,Midbrain (RN) - Red Nucleus - RN,4714
101,dissection,Thalamus (THM) - Subthalamic nucleus and nearby - STH,Nucleus subthalamicus,Subthalamic|\bSTH\b,regex_ci,10,subthalamic pattern,3,4,Thalamus,Thalamus,Thalamus,Thalamus (THM) - Subthalamic nucleus and nearby - STH,20162
108,dissection,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re,Nucleus medial thalami,medial nuclear complex|mediodorsal|reuniens|medioventral|\bMNC\b|\bMD\b|\bRe\b,regex_ci,20,medial thalamic pattern,3,4,Thalamus,Thalamus,Thalamus,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re,13382
109,dissection,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD,Nucleus medial thalami,medial nuclear complex|mediodorsal|reuniens|medioventral|\bMNC\b|\bMD\b|\bRe\b,regex_ci,20,medial thalamic pattern,3,4,Thalamus,Thalamus,Thalamus,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD,20916
110,dissection,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG),Corpus geniculatum laterale,lateral geniculate|\bLG\b,regex_ci,10,lateral geniculate pattern,3,4,Thalamus,Thalamus,Thalamus,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG),48856
111,dissection,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG),Corpus geniculatum mediale,medial geniculate|\bMG\b,regex_ci,10,medial geniculate pattern,3,4,Thalamus,Thalamus,Thalamus,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG),14226
