Species,Stephan_col,Merged_col,Stephan_value,Merged_value,abs_diff,pct_diff,merged_teams,match_cat
Indri_indri,Mesencephalon,Mesencephalon_Vol.mm3,978,978,0,0,Stephan_collection,exact(<0.5%)
Lagothrix_lagotricha,Mesencephalon,Mesencephalon_Vol.mm3,1582,1582,0,0,Stephan_collection,exact(<0.5%)
Lepilemur_ruficaudatus,Mesencephalon,Mesencephalon_Vol.mm3,260,260,0,0,Stephan_collection,exact(<0.5%)
Lophocebus_albigena,Mesencephalon,Mesencephalon_Vol.mm3,1770,1770,0,0,Stephan_collection,exact(<0.5%)
Loris_tardigradus,Mesencephalon,Mesencephalon_Vol.mm3,220,220,0,0,Stephan_collection,exact(<0.5%)
Macaca_mulatta,Mesencephalon,Mesencephalon_Vol.mm3,1380,1380,0,0,Stephan_collection,exact(<0.5%)
Microcebus_murinus,Mesencephalon,Mesencephalon_Vol.mm3,85.2,85.2,0,0,Stephan_collection,exact(<0.5%)
Miopithecus_talapoin,Mesencephalon,Mesencephalon_Vol.mm3,826,826,0,0,Stephan_collection,exact(<0.5%)
Nasalis_larvatus,Mesencephalon,Mesencephalon_Vol.mm3,1556,1556,0,0,Stephan_collection,exact(<0.5%)
Nycticebus_coucang,Mesencephalon,Mesencephalon_Vol.mm3,345,345,0,0,Stephan_collection,exact(<0.5%)
Otolemur_crassicaudatus,Mesencephalon,Mesencephalon_Vol.mm3,384,384,0,0,Stephan_collection,exact(<0.5%)
Pan_troglodytes,Mesencephalon,Mesencephalon_Vol.mm3,3739,3739,0,0,Stephan_collection,exact(<0.5%)
Papio_anubis,Mesencephalon,Mesencephalon_Vol.mm3,2711,2711,0,0,Stephan_collection,exact(<0.5%)
Perodicticus_potto,Mesencephalon,Mesencephalon_Vol.mm3,391,391,0,0,Stephan_collection,exact(<0.5%)
Piliocolobus_badius,Mesencephalon,Mesencephalon_Vol.mm3,1333,1333,0,0,Stephan_collection,exact(<0.5%)
Pithecia_monachus,Mesencephalon,Mesencephalon_Vol.mm3,745,745,0,0,Stephan_collection,exact(<0.5%)
