genes,subclass,p_val
FSTL1,L23IT,7.542047620514069e-11
FSTL1,L4IT,8.089705271167229e-11
FSTL1,L56NP,1.97084602002303e-9
FSTL1,L5IT,3.71002288089004e-15
FSTL5,L4IT,9.87131713641664e-11
FSTL5,L5IT,3.02256570260066e-8
FSTL5,L6CT,9.94617128302393e-16
GAB2,L4IT,7.733729611196739e-12
GABRA2,L4IT,6.41743346164631e-10
GABRA2,L5ET,1.92541539701069e-8
GABRA3,L23IT,6.361521047705601e-11
GABRA3,L4IT,7.00389385711884e-12
GABRA3,L56NP,4.71879309936687e-10
GABRA3,L5ET,8.406665549160479e-11
GABRA3,L6CT,3.49373309895951e-10
GABRA3,L6IT,1.90896645595821e-12
GABRA3,Lamp5Lhx6,6.112957857777311e-9
GABRA5,L23IT,4.8319087687381106e-9
GABRA5,L4IT,1.8228936602756897e-12
GABRA5,L5ET,8.00255214127696e-10
GABRA5,L5IT,2.08191035691549e-11
GABRA5,L6IT,4.30333039699057e-10
GABRA5,L6ITCar3,1.00420118807543e-8
GABRB1,Chandelier,4.57702664296091e-9
GABRB1,L23IT,6.91920915448886e-12
GABRB1,L4IT,1.09617353039762e-12
GABRB1,L5ET,1.8357718324063e-10
GABRB1,L5IT,5.58118772999497e-9
GABRB1,Pvalb,2.83673261104272e-8
GABRB3,L23IT,2.8283360501219002e-11
GABRB3,L4IT,2.13602954276712e-13
GABRB3,L5ET,4.231079245076e-12
GABRB3,L5IT,2.27079698515198e-10
GABRB3,L6IT,1.02731825278086e-11
GABRE,L4IT,5.6177980828933e-11
GABRG1,L4IT,9.75594325902713e-9
GABRG1,Sst,7.24307051262345e-9
GABRQ,L5ET,6.737762747329439e-11
GALNT10,L56NP,2.37426603858775e-9
GALNT11,L6IT,3.30039905201369e-8
GALNT13,L4IT,2.97581726894579e-8
GALNT13,L56NP,5.430638260346921e-9
GALNT13,L5IT,2.9038979589311804e-9
GALNT13,L6ITCar3,1.25262324962063e-8
GALNT14,L4IT,1.36023348766961e-8
GALNT18,L23IT,5.35445504970324e-10
GALNT18,L4IT,8.861441834834219e-11
GALNT18,L6b,2.3646072129212e-8
GALNT18,L6IT,6.5419370276416205e-9
GALNT18,L6ITCar3,6.7523043085099e-9
GALNT2,L6ITCar3,1.38612490647405e-13
GALNTL5,L4IT,5.58338428450787e-9
GALNTL6,L6b,2.05343787404743e-8
GALNTL6,L6CT,1.41649803053125e-8
GALR1,L6CT,1.83490201910226e-11
GAP43,L5ET,1.1489313187055e-14
GAP43,Pvalb,1.20449084903889e-13
GARNL3,L4IT,1.45002124590288e-13
GARNL3,L5ET,1.83278384399398e-9
GAS7,L5ET,7.25345879033473e-14
GAS7,Pvalb,5.84157500780172e-11
GATB,L23IT,1.37040716934954e-8
GBE1,L5ET,2.33073665352975e-15
GCC2,L6IT,3.5859188600975505e-9
GCNT1,L4IT,6.8399129739335e-18
GCNT1,L5IT,6.36353997304887e-14
GCNT1,L6CT,1.43749679331755e-8
GCNT1,L6IT,4.62238088049372e-9
GCNT1,L6ITCar3,2.63383891511208e-14
GDA,L5ET,6.93013216677076e-11
GDA,Vip,1.95758737861265e-9
GDNF-AS1,L56NP,8.983642458192969e-11
GDPD2,L56NP,3.0759113322534e-8
GFRA1,L4IT,6.4678977939270105e-21
GFRA1,L56NP,1.64200465299745e-8
GFY,Astro,7.0999075497206795e-12
GGNBP1,L6CT,1.00219979848372e-8
GGT8P,L5ET,1.3711561089830099e-11
GHR,L23IT,4.97479392403323e-15
GHR,L5IT,2.40015313337616e-10
GHR,L6IT,1.14056928607365e-16
GLCE,L5ET,1.3378607642838801e-9
GLDC,L4IT,1.71603624500182e-14
GLDN,L4IT,9.097426548863591e-9
GLDN,L5IT,4.4731749625322306e-9
GLI3,Pvalb,2.91777590381891e-10
GLIPR1,L4IT,6.34110060738529e-9
GLIPR1,L6IT,2.7421488044716703e-9
GLIPR2,L5IT,6.7377002389059e-11
GLRA3,L23IT,3.96537698576051e-8
GLRA3,L5IT,1.74672792022171e-12
GLRA3,L6b,1.04701165096821e-10
GLT1D1,L4IT,2.56542798789685e-8
GMCL1,L4IT,2.6633909374586202e-9
GNA14,L5ET,1.1964861167049202e-9
GNA14-AS1,L5ET,1.1010797883437e-9
GNAL,L6CT,2.60184585845783e-10
GNB4,L4IT,2.83710881109813e-12
GNB4,Pvalb,2.0490808604797801e-10
GNG12,L56NP,2.7312298277635602e-9
GNG12-AS1,L4IT,3.0206921521990403e-9
GNG2,L4IT,4.714887657576601e-10
GNG2,L56NP,6.27078311625731e-10
GNG2,L5ET,3.31726996776517e-10
GNG2,L5IT,2.97231565705419e-8
GNG2,Pvalb,4.95549792804504e-10
GNG2,Sst,4.50244901752976e-11
GNG4,L4IT,8.48758854708396e-15
GNG4,L5ET,9.190042544204851e-9
GNG4,L5IT,3.99738340329032e-9
GNPTAB,L5IT,5.3171296365452106e-9
GOLGA8S,L4IT,2.5848796103750004e-11
GOLIM4,L6CT,3.05851497177773e-14
GOLIM4,L6ITCar3,9.880382484403979e-11
GOLM1,L5ET,3.9268233413439e-9
GPC4,L5IT,3.886170591089771e-9
GPC5,L56NP,1.13962828742124e-10
GPC5,L5ET,1.5827357868002e-8
GPC5,L5IT,6.8386859140664404e-9
GPC5,L6CT,5.85020012029408e-13
GPC5,L6ITCar3,4.1272860268510905e-9
GPC6,L23IT,1.2776567928912e-8
GPC6,L56NP,2.16740784091375e-8
GPC6,L5ET,2.46211191115004e-8
GPC6,L6IT,1.36429962118902e-8
GPC6,L6ITCar3,9.90178099786571e-14
GPCPD1,L23IT,2.0664804926706403e-9
GPCPD1,L56NP,7.20446861532022e-11
GPCPD1,L6b,5.93183412196783e-11
GPCPD1,L6CT,4.5569985330845395e-18
GPCPD1,L6ITCar3,9.33018111409283e-10
GPD2,L4IT,1.1275782503014e-8
GPD2,Pvalb,2.87246040664861e-8
GPLD1,L23IT,2.23154589590023e-8
GPLD1,L4IT,7.664976403821641e-9
GPM6A,L5ET,3.30406226447231e-14
GPM6A,Pvalb,6.13559835327579e-10
GPM6B,L4IT,3.45436707808219e-11
GPM6B,L5ET,8.71087880445964e-9
GPR137C,L23IT,6.78548378108943e-14
GPR137C,L4IT,1.88146502923097e-8
GPR137C,L5IT,1.7830998402266897e-11
GPR137C,L6IT,7.834339186163219e-11
GPR153,L4IT,7.53597067254895e-11
GPR160,L6IT,4.6009315061093504e-14
GPR161,L4IT,1.1350571539000101e-09
GPR161,L56NP,1.84643120192365e-8
GPR161,L5IT,2.9190678813184304e-9
GPR161,L6IT,3.9660105689575005e-10
GPR176,L6CT,6.566632453480321e-9
GPR176,Pvalb,4.9791400181241305e-9
GPR63,L5ET,5.92954553030108e-10
GPRC5C,L4IT,2.22416823513967e-8
GPRIN2,L5ET,1.73769270240516e-8
GPRIN3,L4IT,1.9215697347484998e-13
GPRIN3,L5IT,7.0979371773e-10
GPRIN3,L6CT,4.71988958230598e-10
GPRIN3,L6IT,2.78654859482206e-11
GRAMD1C,L5ET,4.03202162165628e-8
GRAMD3,L4IT,4.8484403214854496e-11
GRAMD3,L56NP,8.55980693398556e-14
GRAMD3,L5ET,1.6017832905350902e-17
GRAMD3,L5IT,8.047615808636101e-10
GREB1,L5ET,3.03418613664227e-8
GREB1L,L5ET,6.44026331357922e-11
GREB1L,L5IT,3.06764464470451e-8
GREB1L,Sst,9.053907758894111e-9
GREM1,L4IT,4.96440560825418e-13
GREM1,L5IT,3.84433703546917e-10
GREM2,Pvalb,4.95416755440477e-9
GRHL1,L5ET,2.44501999220203e-9
GRIA1,L23IT,1.04933572205342e-10
GRIA1,L4IT,5.54604582394982e-17
GRIA1,L56NP,7.79558143159661e-11
GRIA1,L5IT,3.78671927752402e-10
GRIA1,L6CT,2.18924280699754e-8
GRIA1,L6IT,1.4278483791866399e-12
GRIA1,L6ITCar3,1.3658121376279401e-10
GRIA1,Pvalb,5.93173910977297e-12
GRIA1,Sst,1.8391379105028097e-11
GRIA3,L56NP,4.22842303185211e-10
GRIA3,Lamp5Lhx6,2.42163648287892e-8
GRIA4,L5ET,2.01152919496469e-13
GRID2,L23IT,5.1935634800212e-11
GRID2,L4IT,4.73937338016509e-9
GRID2,L5ET,6.58471779890104e-13
GRID2,L5IT,1.22501677653104e-13
GRID2,L6b,2.8957884658416903e-10
GRID2,L6CT,5.5262046189734305e-9
GRID2,L6IT,1.0963404397168699e-11
GRID2,L6ITCar3,7.5483847046586e-12
GRIK1,L23IT,8.35184151185251e-15
GRIK1,L56NP,3.70662626129007e-12
GRIK1,L5ET,1.94396988301884e-11
GRIK1,Pvalb,3.61699653777355e-10
GRIK2,L4IT,1.4114607998534501e-9
GRIK3,L6ITCar3,1.18720477027444e-9
GRIK4,L23IT,3.03835701853364e-9
GRIK4,L5ET,2.21000910582866e-8
GRIK4,L6ITCar3,7.72620094531745e-10
GRIK5,L6IT,3.7297843894906e-10
GRIN2A,L4IT,8.700424073270709e-11
GRIN2A,Pvalb,1.1177549972927199e-11
GRIN2B,L23IT,8.48960458497145e-9
GRIN2B,L5ET,7.82004243309584e-9
GRIN2B,L5IT,1.14403892904989e-8
GRIN2B,L6IT,1.22452249297218e-9
GRIN2D,L5ET,5.8159421935985505e-9
GRIN3A,L4IT,8.162941954285251e-9
GRIN3A,L56NP,2.82711221683926e-8
GRIP2,L4IT,3.9914030486424405e-9
GRK4,L6IT,3.20788517522704e-8
GRM1,L23IT,1.92683034068255e-8
GRM1,L4IT,4.19393579262168e-15
GRM1,L5ET,1.91786339342004e-9
GRM1,L6IT,3.11434563864993e-9
GRM2,L56NP,2.8291948195374404e-9
GRM5,L23IT,3.83017116081594e-8
GRM7,L5ET,6.912590447397279e-13
GRM7,L6b,1.53251362569773e-8
GRM7,L6CT,3.4274007527910097e-12
GRM7,L6IT,5.14953827791073e-10
GRM7,L6ITCar3,1.3897832542185e-14
GRM8,L6CT,3.4779197640776197e-12
GRP,L23IT,6.73163954654727e-10
GSE1,L6CT,4.3196429138257005e-10
GSTO2,L4IT,6.902429246644489e-11
GTDC1,L4IT,4.71865770465093e-10
GTDC1,L5ET,7.86976785014633e-10
GTF2F2,L4IT,1.3147469218406702e-9
GUCY1A2,L23IT,3.96229119711424e-8
GUCY1A2,L4IT,5.88501145590278e-12
GUCY1A2,L5IT,2.9338130159704e-11
GUCY1A3,L4IT,1.619471510543e-10
GULP1,L23IT,1.00712071060569e-10
GULP1,L4IT,3.6900783016633497e-16
GULP1,L5ET,1.25239320035371e-8
GULP1,L5IT,5.9706616965246e-13
GXYLT2,L4IT,2.32912090548815e-12
GXYLT2,L5IT,4.77036219242557e-9
GYPC,L6ITCar3,4.84117923205904e-9
H3F3AP4,L6IT,2.48756268998025e-8
HACD1,L56NP,3.7086743344794405e-9
HACD1,L5IT,1.27435303099803e-8
HACD1,L6CT,4.99263666946482e-9
HAPLN4,L5IT,2.14776667005093e-8
HBE1,L56NP,4.2187509725236e-9
HCLS1,L5ET,1.38144219501923e-12
HCLS1,L6CT,1.5259854749931198e-11
HCRTR2,L6ITCar3,2.03188991990756e-8
HDAC1,L4IT,7.52945510033115e-9
HDAC9,L5IT,9.25536727873484e-11
HDAC9,L6IT,7.298625796483871e-9
HDAC9,L6ITCar3,5.91844819128452e-10
HECTD2,L5ET,3.30277258934108e-8
HECTD2,L6ITCar3,1.80580382736166e-9
HEG1,Pvalb,2.73323748189897e-8
HERC1,L4IT,1.74173787188252e-10
HERC4,L4IT,1.8618954394214702e-9
HERC4,L5IT,2.02046297476396e-8
HGF,L5ET,7.60077835936536e-14
HGF,L6ITCar3,1.53588482753452e-8
HHIPL1,L5IT,8.85095459363018e-10
HHIPL1,L6IT,9.12059096334536e-10
HHIPL1,L6ITCar3,8.17776131822872e-12
HIF3A,Vip,2.55259499617162e-9
HIPK2,L6ITCar3,1.31210078731843e-8
HIVEP3,L6CT,2.01515374522711e-12
HIVEP3,L6IT,3.8021475291997394e-12
HLCS,L6ITCar3,1.41057214986815e-8
HLF,L5ET,1.21145555373452e-10
HMP19,L5ET,6.828654698393481e-9
HMP19,L6IT,2.33706787844209e-10
HNMT,L4IT,1.18586796661023e-10
HNMT,L6IT,8.90308520520096e-9
HOMER3,L5ET,1.9455152450922202e-9
HOMER3,Pvalb,7.78281368092115e-11
HPSE,L4IT,5.1445643149101295e-11
HPSE,Pvalb,1.4908630776178e-9
HRASLS5,L4IT,2.42836397690487e-14
HS3ST1,L4IT,2.1921328701365702e-15
HS3ST1,L5ET,2.46651257623257e-8
HS3ST1,L6CT,8.55112830923578e-10
HS3ST1,L6IT,8.64400975280408e-11
HS3ST1,Pvalb,1.5077204140735798e-12
HS3ST2,L4IT,1.40706525576226e-12
HS3ST2,Pvalb,1.56276503288082e-8
HS3ST5,L4IT,1.27223584125748e-8
HS3ST5,L56NP,1.69021575601673e-8
HS3ST5,L5ET,2.20733125778281e-14
HS3ST5,L6IT,6.2121758763941e-10
HS3ST5,L6ITCar3,7.01605154870474e-17
HS6ST2,L4IT,1.7028231578559e-13
HS6ST2,L56NP,3.10506154595757e-9
HS6ST3,L4IT,2.96181635264194e-9
HS6ST3,L5ET,8.464847511535149e-11
HS6ST3,L5IT,4.50055618452458e-10
HS6ST3,L6CT,2.08756597524807e-12
HS6ST3,L6IT,3.3564766634359298e-12
HS6ST3,L6ITCar3,4.90133523579938e-12
HSBP1L1,L4IT,4.61516492711531e-10
HSD17B3,L5ET,1.03975692331213e-9
HSPG2,L4IT,9.15622142291396e-10
HTR1E,L23IT,3.57839973912504e-10
HTR1E,L6CT,4.2764084091246095e-11
HTR1E,L6ITCar3,1.27626951345388e-9
HTR1F,L4IT,1.14909903900737e-15
HTR1F,L56NP,2.98623061999194e-8
HTR1F,L5ET,1.08935069799397e-14
HTR2A,L5ET,2.5089311559591e-11
HTR2C,L56NP,2.4658121126757604e-9
HTR2C,L5ET,8.2860509414483e-12
HTR4,L56NP,6.43939063994942e-11
HTR7,L23IT,1.66229418066226e-13
HTR7,L4IT,8.668018854107961e-15
HTR7,L6IT,5.81419353579199e-14
HTRA1,Pvalb,1.49050822008339e-8
HUNK,L6CT,3.9543952275958806e-9
HYDIN,L4IT,9.90309584360644e-9
ID2,L6CT,5.0431622098938805e-9
IDH3A,L6CT,4.0399485852281e-8
IGF1,Pvalb,6.56113246600646e-9
IGFBP2,L23IT,8.99334393201513e-11
IGFBP2,L5IT,2.5803747030988998e-14
IGFBP3,L4IT,5.03540217156544e-11
IGFBP5,L6b,1.3075759975475802e-9
IGFBP5,L6CT,1.96505410860148e-8
IGSF10,L56NP,4.96065629706806e-10
IGSF11,L4IT,1.5635809737493602e-9
IGSF11,L56NP,2.73248857219905e-10
IGSF11,L5IT,4.8227292876327e-10
IGSF3,L5ET,3.78804848356061e-9
IL12A-AS1,L5ET,1.89300916970921e-12
IL12RB2,L4IT,1.4892243652405e-9
IL12RB2,L5IT,6.0209328851144505e-9
IL17RD,L5IT,2.39927091263221e-12
IL1RAPL2,L4IT,1.6985372688405602e-9
IL1RAPL2,Lamp5,1.58749783078485e-9
IL6ST,L6CT,2.03143370772011e-8
IL7R,L6ITCar3,2.2929464079289497e-11
ILDR2,L4IT,1.24467647657055e-14
ILDR2,Sst,2.54884383872283e-8
INHBA,L4IT,7.97523025644679e-10
INHBA,L6IT,2.06187705612413e-8
INHBA-AS1,L6CT,1.9149331080983597e-11
INHBA-AS1,L6IT,3.84254757014861e-8
INPP4B,L5ET,1.41840864701701e-8
INPP4B,L5IT,2.5771610598368303e-9
INSM1,Lamp5Lhx6,6.3218316004632e-9
INTU,L4IT,9.429284479958531e-9
INTU,L5IT,3.18287754638768e-8
IPCEF1,L5ET,4.00665777877425e-10
IPO11,L6IT,6.99880762873023e-9
IQCA1,L4IT,1.43872397069256e-12
IQCJ-SCHIP1,L5ET,5.474946873474711e-9
IQCJ-SCHIP1,L5IT,5.2229000845723e-9
IQCJ-SCHIP1,L6CT,5.30223487292073e-10
IQCJ-SCHIP1,L6IT,6.14078680654113e-12
IQCJ-SCHIP1,L6ITCar3,1.48492520960104e-8
IQGAP1,L56NP,3.2223411488399704e-9
IQGAP2,L5ET,5.5272727187175e-10
IQGAP2,Pvalb,2.42142523319839e-12
IQSEC1,L4IT,2.0859380098907703e-9
IRAK3,L6ITCar3,8.11180468535139e-10
IRF6,L4IT,1.1027176933702601e-10
IRS4,L6CT,3.19721149785583e-12
ITGA1,Sst,8.71885533326747e-10
ITGA11,L6b,1.72748455830566e-8
ITGA11,L6CT,1.2481551762079801e-14
ITGA11,L6IT,5.04113306024549e-9
ITGA11,L6ITCar3,2.08848504159805e-8
ITGA6,L5ET,8.77399451260937e-10
ITGA6,Pvalb,6.526146211249971e-10
ITGA8,L56NP,2.39901697199907e-16
ITGA9-AS1,L4IT,8.16376675974998e-10
ITGAV,L4IT,4.29786802015689e-12
ITGAV,L56NP,2.70510000543155e-9
ITGAV,L5ET,1.78890730064768e-8
ITGB8,L4IT,9.82103317920438e-13
ITGB8,L6ITCar3,1.3063275690718201e-9
ITGBL1,L5ET,3.83645555535932e-17
ITM2A,L23IT,3.51505436170332e-12
ITPKA,L5ET,2.3111408291521102e-9
ITPR1,Pvalb,2.5054751440861097e-11
ITPR2,L4IT,3.69901908280374e-12
ITPR2,L5ET,4.7398023901678e-10
ITPR2,Pvalb,1.52918088853617e-10
JADE3,L56NP,6.13312441333737e-9
JADE3,L5ET,7.81496239111923e-9
JAK2,L23IT,1.00473962963256e-8
JAM2,L23IT,2.0630887897148698e-11
JAM2,L4IT,3.0711649175176603e-9
JAM3,L4IT,4.27354842582667e-10
JAM3,L5ET,1.9605215639302002e-10
JDP2,L4IT,2.21086756841609e-12
JPH1,L4IT,1.11296180338177e-12
JUP,L4IT,4.93166264618638e-10
KAZN,L6b,6.8168392147916304e-9
KCNA1,L23IT,1.27403333322093e-8
KCNA1,L56NP,1.1451367002403699e-11
KCNA1,L5IT,3.7837129817074e-10
KCNA1,L6CT,2.53810999793903e-8
KCNA1,Pvalb,1.36539197177722e-8
KCNA1,Sst,2.26211309336419e-8
KCNA1,Vip,7.16404328419251e-10
KCNA2,L4IT,6.178829062316121e-9
KCNA3,L5ET,1.99431085519623e-9
KCNA6,L5IT,7.771630526496219e-12
KCNAB1,L4IT,1.30285103024667e-12
KCNAB1,L5ET,7.54304309042357e-11
KCNAB3,L4IT,1.80024938084018e-10
KCNAB3,L56NP,2.2733789213422002e-10
KCNAB3,L5ET,3.43423784472848e-8
KCNAB3,L5IT,2.9603625720418e-8
KCNAB3,L6CT,5.59508326013434e-10
KCNB2,L23IT,1.03120582367806e-8
KCNB2,L4IT,8.53092731240264e-13
KCNB2,L5ET,8.67651027894957e-13
KCNB2,L5IT,4.21321613751911e-10
KCNB2,L6b,2.2020809254599002e-10
KCNB2,Lamp5Lhx6,1.2128156682192901e-9
KCNC2,L5ET,3.7536097384044006e-10
KCNC4,L6CT,8.252006331989591e-9
KCNC4,Pvalb,1.21615525752542e-8
KCND2,L6CT,1.8414103684466402e-9
KCND2,L6ITCar3,2.92184832010373e-8
KCNG1,L23IT,3.58852576142755e-16
KCNG1,L4IT,3.21982492495731e-8
KCNG1,L5IT,2.72094001924262e-13
KCNG1,L6b,1.38801324822252e-9
KCNG1,L6IT,1.4184060741246e-9
KCNG2,L5ET,1.91304855010135e-13
KCNG3,L5ET,1.72425388118587e-11
KCNH1,L4IT,1.59922532030422e-8
KCNH1,L5ET,4.01399738770969e-10
KCNH1,L6CT,5.07379929240617e-13
KCNH3,L5ET,3.70364907557761e-8
KCNH5,L4IT,4.9342828742105e-9
KCNH5,L56NP,1.23045905595723e-8
KCNH5,L6CT,1.24038577891336e-9
KCNH7,L4IT,2.6386928413382702e-9
KCNH7,L5IT,1.91080135952839e-12
KCNH7,L6CT,5.11853019625596e-10
KCNH7,L6IT,1.10892614687349e-13
KCNH8,L4IT,1.85828347075096e-16
KCNH8,L6ITCar3,8.345866497843579e-11
KCNH8,Pvalb,7.47440096169643e-9
KCNIP1,L4IT,2.80822387558533e-13
KCNIP1,L5IT,7.0697727501012305e-9
KCNIP2,L4IT,5.02746582501608e-12
KCNIP4,L6b,7.93044852951831e-12
KCNIP4,L6CT,2.12298191943782e-12
KCNJ16,L4IT,1.1546168208592802e-9
KCNJ2,L6CT,3.27524619473459e-18
KCNJ6,L4IT,8.5643342153393e-11
KCNJ6,L56NP,6.023130500042499e-13
KCNJ6,L5ET,2.00681660558189e-12
KCNJ6,L6CT,9.42182117872938e-12
KCNK1,L4IT,1.2448618231772699e-11
KCNK1,L5ET,6.9053995243597606e-9
KCNK1,Pvalb,5.77011909927804e-10
KCNK12,L4IT,9.42075600393246e-9
KCNK13,L23IT,2.0289017752178103e-9
KCNK13,L6IT,7.40039491392936e-9
KCNK13,Pvalb,1.93733167206777e-9
KCNK2,L4IT,5.051743996635751e-15
KCNK2,L6CT,4.6836650786851305e-9
KCNK2,L6ITCar3,1.4645657921722202e-14
KCNMB2,L6CT,2.77628222556533e-8
KCNMB2,Pvalb,1.5891576379360097e-11
KCNMB4,L5ET,6.4605912038627e-16
KCNMB4,L5IT,1.87346210585523e-8
KCNMB4,L6CT,7.49936145736447e-9
KCNMB4,L6ITCar3,9.512047909632349e-11
KCNMB4,Sst,4.01345379959733e-9
KCNN2,L56NP,3.67665175859491e-8
KCNN2,Pvalb,1.5007324526120097e-11
KCNN3,L23IT,2.9446609172655897e-11
KCNN3,L4IT,2.8463874528810896e-11
KCNN3,L56NP,3.73307460523503e-10
KCNN3,L5ET,6.29353860472983e-13
KCNN3,L5IT,1.9417589693263301e-10
KCNN3,L6b,1.41322829493326e-10
KCNN3,L6IT,2.0088028787249202e-10
KCNQ3,Sst,2.65309779617779e-12
KCNQ5,L23IT,3.62205213420913e-8
KCNQ5,L4IT,5.89281120841785e-13
KCNQ5,L56NP,3.46389736485012e-11
KCNQ5,Pvalb,1.25205708372648e-10
KCNT2,L4IT,1.4842350161298301e-9
KCNT2,L5ET,8.81925105603431e-10
KCNT2,L6CT,2.40990801983157e-10
KCNV1,L5ET,8.68795514711682e-10
KCTD1,L5ET,5.109131677951251e-10
KCTD1,Pvalb,3.26619562114029e-8
KCTD15,L4IT,1.95169749757703e-10
KCTD8,L23IT,4.89376605348039e-9
KCTD8,L4IT,3.63359666571717e-8
KCTD8,L5ET,4.35019985571407e-15
KCTD8,L5IT,3.66424977290009e-8
KDELC2,L23IT,5.584769101891501e-10
KDM4A,L5ET,3.33370785200892e-8
KEL,L6CT,2.6684366244062803e-15
KHDRBS2,L5ET,3.07924451882071e-8
KHDRBS2,Sst,7.99854951515216e-10
KHDRBS3,L4IT,1.14381596385391e-10
KIAA0226L,L5ET,3.4819834928123495e-11
KIAA0922,Pvalb,2.65198721020832e-8
KIAA1024,L56NP,2.43843808116527e-8
KIAA1211,L56NP,1.36176162480265e-8
KIAA1211L,L4IT,1.2337054296380998e-12
KIAA1211L,L5ET,1.51231195104411e-18
KIAA1217,L6ITCar3,7.40737231546015e-12
KIAA1324,L5IT,3.22931664402018e-8
KIAA1328,L23IT,7.64302485607324e-12
KIAA1377,L4IT,8.37999570569115e-14
KIAA1407,L4IT,3.63113751680118e-9
KIAA1456,L5ET,1.33667954924469e-8
KIAA1456,L6IT,1.51643756219169e-8
KIAA1462,L6ITCar3,1.0133153870006902e-9
KIAA1549,L4IT,5.610446264854921e-15
KIAA1549,L5ET,1.32956713311604e-8
KIAA1549,L5IT,4.6501027222448205e-09
KIAA1549L,L4IT,3.81289857424225e-8
KIAA1598,L4IT,3.1135761211390197e-12
KIAA1644,L4IT,3.7298024866894696e-12
KIAA1644,L5IT,1.47409358616306e-8
KIAA1644,L6CT,2.40678855091078e-8
KIAA1644,L6IT,1.13943358357284e-9
KIAA1841,Pvalb,1.10255268755007e-8
KIAA1958,L5ET,2.71605890451139e-10
KIAA2012,L4IT,3.07228176100877e-13
KIAA2012,L5ET,3.45346954588439e-9
KIAA2012,L5IT,5.89873691117587e-9
KIF13A,L4IT,9.55066208031245e-12
KIF13A,L56NP,1.75203008470757e-8
KIF13A,L6CT,6.16934635560055e-10
KIF17,Pvalb,1.43221447077723e-9
KIF21B,L4IT,1.6122257244896302e-9
KIF21B,L6CT,1.6705043716403302e-9
KIF26A,L5ET,7.27161224144381e-10
KIFC3,L5IT,1.10889739000307e-10
KIRREL,L4IT,5.3905354003383095e-18
KIRREL3,L4IT,2.03805834807016e-9
KIRREL3,L5ET,1.98754618843697e-8
KIRREL3,L5IT,2.3757011451742e-9
KIRREL3,L6IT,3.55199393369208e-10
KITLG,L5ET,3.4073444608767903e-9
KIZ,L5ET,6.510593363229251e-9
KLF12,L4IT,3.7006871432135405e-9
KLF12,L5ET,2.92052891406516e-12
KLF13,L6CT,3.36203716433307e-9
KLF13,L6IT,9.51137421213786e-10
KLF3,L6CT,8.305783907048619e-11
KLF7,L4IT,1.35182834587601e-8
KLF8,L4IT,8.07763344992349e-9
KLF8,L5IT,7.69137611326288e-11
KLF9,L56NP,8.50853996105351e-9
KLF9,Lamp5Lhx6,2.93462169965548e-8
KLF9,Sst,6.605050971701e-9
KLF9,Vip,4.4788945714912196e-11
KLHDC8A,L23IT,8.79709798831682e-10
KLHDC8A,L4IT,4.09347610727499e-16
KLHDC8A,L5IT,4.48342412481435e-12
KLHL1,L4IT,5.362267913059249e-23
KLHL1,L5IT,1.9045840734047e-11
KLHL1,L6IT,1.64276951817473e-14
KLHL13,L4IT,1.50859658762201e-11
KLHL14,L5ET,7.56137442025813e-14
KLHL2,L5ET,3.76878697018804e-8
KLHL29,L6CT,2.2763927959846204e-9
KLHL29,L6IT,1.13948103255264e-8
KLHL3,L5ET,2.65645247515033e-8
KLHL32,L5ET,3.17551053478686e-13
KLHL4,L4IT,4.16295582102053e-9
KLHL5,L4IT,8.74510817337379e-10
KLHL5,Lamp5Lhx6,6.807525419446151e-9
KLHL7,L6CT,1.30384341340565e-8
KLK7,L5IT,4.6610761634459195e-11
KRT33B,L5IT,1.5077216532964e-8
L3MBTL1,L4IT,3.09708946662576e-8
L3MBTL1,L56NP,9.780808068479141e-9
L3MBTL4,L23IT,6.43274755277602e-10
L3MBTL4,L4IT,3.2166420667834e-13
L3MBTL4,L6IT,2.0323715682979e-8
LAMA3,L4IT,4.28134585220522e-10
LAMA3,L5ET,3.85438463729992e-11
LANCL3,L4IT,3.56068310126607e-10
LANCL3,Lamp5Lhx6,1.09166087510258e-11
LAPTM4B,L6CT,2.43191863012942e-8
LARGE,L4IT,6.73743512235151e-12
LARGE,L56NP,1.10901011295902e-8
LARGE,L5ET,2.5131649459526503e-9
LARGE,L5IT,1.7822313904166e-8
LARGE,L6CT,5.907399693444671e-10
LARP1,L4IT,8.04489633575672e-9
LARP1,L56NP,1.02649508101346e-8
LATS2,L4IT,3.81699060642079e-11
LAYN,SstChodl,1.15980494319842e-8
LCORL,L23IT,4.6239948050496404e-9
LCORL,L4IT,5.00073780079614e-13
LCORL,L6IT,7.8653522193597e-9
LCP2,Sst,1.3213361021250101e-9
LDB2,L4IT,6.721807379196841e-15
LDLR,L4IT,9.703643854720121e-9
LDLRAD3,L4IT,6.3013263190224295e-12
LDLRAD4,L6ITCar3,4.213416154308281e-9
LGALS13,L23IT,3.69943464001871e-8
LGI1,Pvalb,5.2787092672414e-9
LGI2,L4IT,6.1154599311983295e-12
LGI2,L56NP,1.00612989323335e-10
LGI2,L6CT,1.3838206666484301e-14
LGR5,L6CT,3.1218123670187204e-15
LHFP,L5ET,1.22928158688122e-10
LHFP,L6CT,3.19941343874196e-12
LHFPL1,L5ET,1.06964003455094e-8
LHFPL3,L4IT,6.69266462933394e-14
LHFPL3,Lamp5Lhx6,1.41511513421203e-8
LHFPL5,L6CT,3.88202892113076e-9
