cluster,gene,A1,ACC,ANG,DLPFC,M1,MTG,S1,V1
L2/3 IT_6,NLK,1.09625206949727,0.801260929715736,1.21200775259826,1.0086696923713,1.08163066598486,1.10516595773022,1.06354041330252,1.05881586455962
L2/3 IT_6,CAMK2A,1.14199859005649,1.1566161746822,1.22926447508921,1.18574198262842,1.12303516550852,1.165542798895,1.20012342978968,1.12653075377466
L2/3 IT_6,LOC101927745,0.847679536850319,1.29948803291349,0.861008284539687,1.40879748952015,1.16267575589075,1.1508771604088,1.07610092976855,0.356242079110152
L2/3 IT_6,DPYD,1.16061892191181,1.70885131290659,1.1807823260038,1.22989821131623,0.995733815844412,1.342404793034,0.751675863830858,0.469445639154309
L2/3 IT_6,CHN1,1.26336472508463,1.13853404066413,1.30803311287378,1.16703182202636,1.13694738066153,1.21411183195332,1.08863851906059,1.1539153444284
L2/3 IT_6,PPP3CA,0.972858065702093,0.817540407824361,1.01403939524703,0.962625514266377,1.10285182804179,0.856385604518189,1.06624285198921,1.07714162351748
L2/3 IT_6,DGCR5,1.1294700298869,1.14302521010581,1.06759116964566,1.01502830027813,0.809898864311631,1.23985070305229,0.984592813229931,1.06260800195771
L2/3 IT_6,ZNF365,0.982276866266591,0.971762792929042,1.01125602038943,1.00960322880142,0.809715685386882,0.980610413624076,0.990238759033932,0.877494656889877
L2/3 IT_6,PVRL3,1.06025091765704,1.49685301995094,1.34299853095104,1.47967624643556,1.55899597176097,1.29099363178096,1.42872179132296,1.05116318461658
L2/3 IT_6,LOC101928278,1.21308290739326,1.70289504839448,1.2068512384195,1.36790580215066,1.29794425750507,1.23185789668889,1.29853143519305,1.37562252925125
L2/3 IT_6,LMF1,0.947763116004234,0.864389291800402,1.0123960610661,1.04491900905573,0.872075890366893,1.15288200408228,0.967409147992572,0.908249638048627
L2/3 IT_6,PHACTR1,1.07124811279316,1.33279293668668,1.1758927757691,1.01270615487977,0.876853419916336,1.18761284119484,0.968481438151719,1.02697873333559
L2/3 IT_6,ATRNL1,1.06525467981176,1.11101056973343,1.09172282249092,1.1563563475498,1.13683468598067,1.20228940262437,1.12072696465392,0.823480026392308
L2/3 IT_6,CABP1,1.13615717055137,0.994667617364712,1.23699670086951,1.34690989168465,1.19225615117577,1.21465651326592,1.31764055870957,0.846230896630747
L2/3 IT_6,PPFIA2,0.921415648651849,0.89667954734599,0.97532362675063,0.7901673907869,0.79576187379492,0.900176063251816,0.91306421413356,1.04974637068408
L2/3 IT_6,SIPA1L1,0.905961561355572,0.712967841796109,0.972330314862814,0.811228088055932,0.7828782345669,0.944020617058626,0.857076399190663,1.07087434441159
L2/3 IT_6,STXBP5L,0.991763989528827,1.11412004104919,1.15913684460129,1.11845042973825,0.94965001088406,1.11872612249561,1.05295389314796,0.956944798013175
L2/3 IT_6,ARPP19,1.17081332028008,1.17468266912898,1.00871928112738,0.969932252758652,1.00387137010559,1.02260466744488,0.897936308194623,1.03501560533658
L2/3 IT_6,FAM153C,1.08156648072308,0.794283125569982,0.733440980596713,0.807244579665909,0.642654234666083,0.985303001596034,0.814309397073709,0.932062925057334
L2/3 IT_6,RFX3,0.99465538442653,1.40797385798092,0.9758046110247,1.06290116952195,0.995935643423977,1.15798228952027,0.869154788473345,0.789524060880282
L2/3 IT_6,GABRB3,0.861508991952051,1.04254189454713,0.83922278402838,0.83794622678067,0.801342322646359,0.850984866616135,0.804291602557016,0.834874109929594
L2/3 IT_6,GRIA4,1.2371731453525,1.21770689270401,1.20782468814219,1.1463454697269,0.930962778624663,1.25122196610293,1.08526061676271,1.0716067395713
L2/3 IT_6,DLGAP1-AS4,0.856164056828098,0.573070302259678,0.780239907970456,0.56676121250036,0.64372831433515,0.75478515228341,0.725377957957278,1.00389398648747
