p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,region
1.84429990560614e-172,1.18171384224982,0.968,0.949,9.273324355378247e-168,Oligo,CLASP2,V1
1.5857633663710296e-171,1.51274541977892,0.936,0.866,7.973376782450169e-167,Oligo,TJP1,V1
3.399253639136479e-171,1.14864071256881,0.418,0.075,1.7091787222942196e-166,Oligo,PLEKHG3,V1
2.3182027556855e-170,1.46278944473065,0.454,0.093,1.1656155275862298e-165,Oligo,LOC100128079,V1
4.492238011117819e-167,1.97609531880763,0.848,0.626,2.2587421943701495e-162,Oligo,SLC12A2,V1
9.362428064199519e-166,1.15884509550975,0.392,0.068,4.70752245496016e-161,Oligo,SPATA22,V1
1.59703847052225e-163,1.95357814050146,0.882,0.691,8.030069133632909e-159,Oligo,KLHL32,V1
2.4650752869626296e-163,2.12797310765301,0.918,0.882,1.2394645050376798e-158,Oligo,FTH1,V1
5.207951052649439e-162,1.06138883354231,0.378,0.061,2.6186098687826697e-157,Oligo,TMEM123,V1
2.5246581347086698e-160,1.44465974750294,0.942,0.673,1.2694233567128598e-155,Oligo,SOX2-OT,V1
3.4653901709151894e-159,1.9445851663517,0.704,0.311,1.74243283183787e-154,Oligo,AMER2,V1
1.7843716467654698e-156,1.96952571068678,0.766,0.426,8.971999077101448e-152,Oligo,ATG4C,V1
2.93867724550194e-155,1.20811743359976,0.606,0.165,1.4775963058108298e-150,Oligo,PREX1,V1
4.951671316511679e-155,2.02208209618218,0.8,0.531,2.4897498546552397e-150,Oligo,RYBP,V1
1.8015111695284397e-154,1.89884264730528,0.852,0.71,9.058178311505949e-150,Oligo,LPGAT1,V1
2.0825341308834298e-154,1.88285984448562,0.914,0.701,1.0471189863494998e-149,Oligo,TMEFF2,V1
4.005119890478889e-154,1.70712334112684,0.87,0.771,2.0138143321316897e-149,Oligo,PTBP2,V1
7.36124097699018e-154,2.05049823925518,0.752,0.407,3.7013055756404296e-149,Oligo,KIF13B,V1
8.863855982554498e-154,1.28511085240164,0.468,0.104,4.45683542658823e-149,Oligo,SYT9,V1
1.0966081339140798e-153,1.82254055448366,0.6,0.203,5.513855358133399e-149,Oligo,KLHL4,V1
1.6239400671932297e-153,1.27502440699201,0.852,0.304,8.16533305185427e-149,Oligo,FBXL7,V1
2.0483517539929195e-153,1.42760614749322,0.94,0.91,1.0299317454251798e-148,Oligo,EXOC6B,V1
3.13356369319576e-152,1.67727411921913,0.864,0.739,1.5755871605757596e-147,Oligo,FNBP1,V1
4.50663845860415e-152,1.58377092840753,0.564,0.176,2.2659828833707496e-147,Oligo,CBR1,V1
2.6696273136483397e-151,1.77508640754271,0.842,0.668,1.3423153095755198e-146,Oligo,SORT1,V1
7.945227415072259e-151,1.85578851741643,0.844,0.683,3.9949397965724793e-146,Oligo,LANCL1,V1
4.0274302903529093e-150,1.98572272957644,0.822,0.592,2.0250322242923397e-145,Oligo,CDK19,V1
4.2784721137507394e-150,1.94986829983994,0.788,0.521,2.1512585635150096e-145,Oligo,PSEN1,V1
1.6734868610206798e-149,1.72613952758975,0.864,0.786,8.414459285898089e-145,Oligo,MAP4K5,V1
5.78346496962006e-149,1.66026912073091,0.952,0.652,2.9079840213746597e-144,Oligo,NKAIN2,V1
1.8125221760677497e-147,1.33940046397001,0.944,0.844,9.11354275348627e-143,Oligo,LIMCH1,V1
2.8377746604244196e-146,1.57840803804885,0.552,0.17,1.4268614770079997e-141,Oligo,RHOU,V1
3.3789677669310596e-146,1.37879442809067,0.596,0.172,1.69897878289061e-141,Oligo,CHD7,V1
1.0896295750760999e-145,1.02365304619852,0.996,0.953,5.478766466440129e-141,Oligo,MAGI2,V1
1.1636527418735898e-145,1.69395671240193,0.934,0.804,5.85096235141458e-141,Oligo,UNC5C,V1
1.8920464872125398e-145,1.58850625952632,0.504,0.139,9.513398942353369e-141,Oligo,KIF6,V1
1.9776815398528799e-144,1.44880366603923,0.89,0.838,9.943980550534278e-140,Oligo,PICALM,V1
