Species,Stephan_column,EvoM1_variable,Stephan_value,status,unit_rescale_flag,closest_nonmatching,all_matching_sources,metadata_reference
Pan_troglodytes,Brain_mass,Brain_Mass.mg,342700.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Perodicticus_potto,Brain_mass,Brain_Mass.mg,11500.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Piliocolobus_badius,Brain_mass,Brain_Mass.mg,75000.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Pithecia_pithecia,Brain_mass,Brain_Mass.mg,30000.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Pithecia_pithecia,Brain_weight,Brain_Mass.mg,30000.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Saguinus_geoffroyi,Brain_mass,Brain_Mass.mg,10500.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Saguinus_geoffroyi,Brain_weight,Brain_Mass.mg,10500.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Saguinus_oedipus,Brain_mass,Brain_Mass.mg,9300.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Symphalangus_syndactylus,Brain_mass,Brain_Mass.mg,138700.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Symphalangus_syndactylus,Brain_weight,Brain_Mass.mg,138700.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Trachypithecus_francoisi,Brain_mass,Brain_Mass.mg,102100.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Trachypithecus_francoisi,Brain_weight,Brain_Mass.mg,102100.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Varecia_variegata,Brain_mass,Brain_Mass.mg,31500.0,resolved_multiple,1000,,Bauernfeind_etal_2013_Table1; Stephan_etal_1970_Table2; Stephan_etal_1981_TableII,Bauernfeind et al 2013
Varecia_variegata,Brain_weight,Brain_Mass.mg,31500.0,resolved_multiple,1000,,Bauernfeind_etal_2013_Table1; Stephan_etal_1970_Table2; Stephan_etal_1981_TableII,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
