Species,Stephan_column,Stephan_value,candidate_reference,candidate_source,candidate_variable,candidate_value,candidate_year,search_tier,tier_rank,match_quality,pct_difference,scale,prior_contributions,candidate_file,candidate_sheet,candidate_cell,evidence_context,structure_context_match
Cebus_albifrons,Prefrontal.White,0.26,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,PrefrontalCortex_white_matter_Vol.mm3,257,2017,metadata_tables,1,near_perfect,1.1538461538461549,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Cebus albifrons; Variable=PrefrontalCortex_white_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,Prefrontal.White,0.26,Smaers_etal_2011_SupplementaryTable2,Smaers_etal_2011_SupplementaryTable2,PrefrontalCortex_white_matter_Vol.mm3,250,2011,evom1_all_volume_tables,3,close_same_structure,3.8461538461538494,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cebus albifrons; Variable=PrefrontalCortex_white_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,Other.cortical.association.areas.Gray,21.02,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,AssociationCortex_grey_matter_Vol.mm3,21024,2017,metadata_tables,1,near_perfect,0.019025875190265103,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Cebus albifrons; Variable=AssociationCortex_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,Other.cortical.association.areas.White,12.05,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,AssociationCortex_white_matter_Vol.mm3,12053,2017,metadata_tables,1,near_perfect,0.024890068862524796,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Cebus albifrons; Variable=AssociationCortex_white_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cercopithecus_mitis,LGN_Sousa,150,deSousa_etal_2010_SupTable2,deSousa_etal_2010_SupTable2,Corpus_geniculatum_laterale_Vol.mm3,150,2010,metadata_tables,1,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/deSousa_etal_2010/deSousa_etal_2010_SupTable2.csv,,,Species=Cercopithecus mitis; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cercopithecus_mitis,LGN_Sousa,150,Frahm_etal_1998_Table1,Frahm_etal_1998_Table1,Corpus_geniculatum_laterale_Vol.mm3,150,1998,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cercopithecus mitis; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cercopithecus_mitis,LGN_Sousa,150,Stephan_etal_1984_Table1,Stephan_etal_1984_Table1,Corpus_geniculatum_laterale_Vol.mm3,150,1984,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cercopithecus mitis; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cercopithecus_mitis,LGN_Sousa,150,Stephan_etal_1981_TableIX,Stephan_etal_1981_TableIX,Corpus_geniculatum_laterale_Vol.mm3,150,1981,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cercopithecus mitis; Variable=Corpus_geniculatum_laterale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cercopithecus_mitis,ASG_Sousa,4232,deSousa_etal_2010_SupTable2,deSousa_etal_2010_SupTable2,Area_striata_grey_matter_Vol.mm3,4200,2010,metadata_tables,1,near_perfect,0.7561436672967864,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/deSousa_etal_2010/deSousa_etal_2010_SupTable2.csv,,,Species=Cercopithecus mitis; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cercopithecus_mitis,ASG_Sousa,4232,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,Area_striata_grey_matter_Vol.mm3,4232,2017,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Cercopithecus mitis; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cercopithecus_mitis,ASG_Sousa,4232,Frahm_etal_1998_Table1,Frahm_etal_1998_Table1,Area_striata_grey_matter_Vol.mm3,4232,1998,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cercopithecus mitis; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cercopithecus_mitis,ASG_Sousa,4232,Frahm_etal_1984_Table1,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,4232,1984,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cercopithecus mitis; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
