dissection,ROIGroup,ROIGroupCoarse,ROIGroupFine,roi
Basal nuclei (BN) - Nucleus Accumbens - NAC,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Human NAC
Basal nuclei (BN) - Putamen - Pu,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Human Pu
Body of hippocampus (HiB) - Rostral CA1-2,Hippocampus,Hippocampus,Hippocampus,Human CA1R-CA2R
Body of hippocampus (HiB) - Rostral CA1-CA3,Hippocampus,Hippocampus,Hippocampus,Human CA1R-CA2R-CA3R
Body of hippocampus (HiB) - Rostral CA3,Hippocampus,Hippocampus,Hippocampus,Human CA3R
Body of hippocampus (HiB) - Rostral DG-CA4,Hippocampus,Hippocampus,Hippocampus,Human DGR-CA4Rpy
Cerebellum (CB) - Cerebellar Vermis - CBV,Hindbrain,Cerebellum,Cerebellum,Human CBV
Cerebellum (CB) - Cerebellar deep nuclei - CbDN,Hindbrain,Cerebellum,Cerebellum,Human CbDN
Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,Hindbrain,Cerebellum,Cerebellum,Human CBL
Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC,Cerebral cortex,Cerebral cortex,Cerebral cortex,Human LEC
"Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",Cerebral cortex,Cerebral cortex,Cerebral cortex,Human MEC
Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23,Cerebral cortex,Cerebral cortex,Cerebral cortex,Human A23
