Species,Preferred_brain_volume,raw_region,Region_volume,Structure,rCMRGlc
Eulemur_fulvus,22490.35,NeoG_Frahm,9172,Neocortex grey,33.5
Eulemur_fulvus,22490.35,Mesencephalon,590,Mesencephalon,25.2727272727273
Eulemur_fulvus,22490.35,Cerebellum,3328,Cerebellum,29.7507692307692
Eulemur_fulvus,22490.35,Hippocampus,752,Hippocampus,25.7
Eulemur_fulvus,22490.35,Lateral_cerebellar_nuclei,32.05,Nucleus dentatus cerebelli,24.2
Galago_senegalensis,4633.2,LGN_Sousa,16,Corpus geniculatum laterale,23.1
Galago_senegalensis,4633.2,Amygdala,,Amygdala,22.2
Galago_senegalensis,4633.2,Pallidum,,Pallidum,21.9
Galago_senegalensis,4633.2,NeoW_Frahm,,Neocortex white,12.3
Galago_senegalensis,4633.2,Total_insula_volume_L,,Insular cortex (grey),30.3
Galago_senegalensis,4633.2,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Galago_senegalensis,4633.2,Capsula_interna,,Capsula interna,25.5
Galago_senegalensis,4633.2,Striatum,210,Striatum,36.2663366336634
Galago_senegalensis,4633.2,ASG_Sousa,301,Area striata grey,35.8
Galago_senegalensis,4633.2,NeoG_Frahm,,Neocortex grey,33.5
Galago_senegalensis,4633.2,Mesencephalon,205,Mesencephalon,25.2727272727273
Galago_senegalensis,4633.2,Cerebellum,672,Cerebellum,29.7507692307692
Galago_senegalensis,4633.2,Hippocampus,261,Hippocampus,25.7
Galago_senegalensis,4633.2,Lateral_cerebellar_nuclei,4.4,Nucleus dentatus cerebelli,24.2
Galagoides_demidoff,3185.3,LGN_Sousa,10.9,Corpus geniculatum laterale,23.1
Galagoides_demidoff,3185.3,Amygdala,50.2,Amygdala,22.2
Galagoides_demidoff,3185.3,Pallidum,17,Pallidum,21.9
Galagoides_demidoff,3185.3,NeoW_Frahm,150.6,Neocortex white,12.3
Galagoides_demidoff,3185.3,Total_insula_volume_L,12,Insular cortex (grey),30.3
Galagoides_demidoff,3185.3,Nucleus_subthalamicus,1.4,Nucleus subthalamicus Luysi,25.2
Galagoides_demidoff,3185.3,Capsula_interna,18.4,Capsula interna,25.5
Galagoides_demidoff,3185.3,Striatum,169,Striatum,36.2663366336634
Galagoides_demidoff,3185.3,ASG_Sousa,214,Area striata grey,35.8
Galagoides_demidoff,3185.3,NeoG_Frahm,1417,Neocortex grey,33.5
Galagoides_demidoff,3185.3,Mesencephalon,135,Mesencephalon,25.2727272727273
Galagoides_demidoff,3185.3,Cerebellum,413,Cerebellum,29.7507692307692
Galagoides_demidoff,3185.3,Hippocampus,152,Hippocampus,25.7
Galagoides_demidoff,3185.3,Lateral_cerebellar_nuclei,3.06,Nucleus dentatus cerebelli,24.2
Gorilla_gorilla,401785,LGN_Sousa,308.5,Corpus geniculatum laterale,23.1
Gorilla_gorilla,401785,Amygdala,,Amygdala,22.2
Gorilla_gorilla,401785,Pallidum,2604,Pallidum,21.9
Gorilla_gorilla,401785,NeoW_Frahm,,Neocortex white,12.3
Gorilla_gorilla,401785,Total_insula_volume_L,2146,Insular cortex (grey),30.3
Gorilla_gorilla,401785,Nucleus_subthalamicus,178,Nucleus subthalamicus Luysi,25.2
Gorilla_gorilla,401785,Capsula_interna,2471,Capsula interna,25.5
Gorilla_gorilla,401785,Striatum,14567,Striatum,36.2663366336634
Gorilla_gorilla,401785,ASG_Sousa,9129,Area striata grey,35.8
Gorilla_gorilla,401785,NeoG_Frahm,,Neocortex grey,33.5
Gorilla_gorilla,401785,Mesencephalon,4352,Mesencephalon,25.2727272727273
Gorilla_gorilla,401785,Cerebellum,69249,Cerebellum,29.7507692307692
Gorilla_gorilla,401785,Hippocampus,4781,Hippocampus,25.7
Gorilla_gorilla,401785,Lateral_cerebellar_nuclei,534.6,Nucleus dentatus cerebelli,24.2
Homo_sapiens,1357820,LGN_Sousa,335,Corpus geniculatum laterale,23.1
Homo_sapiens,1357820,Amygdala,3015,Amygdala,22.2
Homo_sapiens,1357820,Pallidum,4711,Pallidum,21.9
Homo_sapiens,1357820,NeoW_Frahm,421819,Neocortex white,12.3
Homo_sapiens,1357820,Total_insula_volume_L,6165,Insular cortex (grey),30.3
Homo_sapiens,1357820,Nucleus_subthalamicus,469,Nucleus subthalamicus Luysi,25.2
Homo_sapiens,1357820,Capsula_interna,7008,Capsula interna,25.5
Homo_sapiens,1357820,Striatum,28689,Striatum,36.2663366336634
Homo_sapiens,1357820,ASG_Sousa,15247.5,Area striata grey,35.8
Homo_sapiens,1357820,NeoG_Frahm,584706,Neocortex grey,33.5
Homo_sapiens,1357820,Mesencephalon,8087,Mesencephalon,25.2727272727273
Homo_sapiens,1357820,Cerebellum,137421,Cerebellum,29.7507692307692
Homo_sapiens,1357820,Hippocampus,10287,Hippocampus,25.7
Homo_sapiens,1357820,Lateral_cerebellar_nuclei,1166.9,Nucleus dentatus cerebelli,24.2
Hylobates_lar,88803,LGN_Sousa,166.2,Corpus geniculatum laterale,23.1
Hylobates_lar,88803,Amygdala,,Amygdala,22.2
Hylobates_lar,88803,Pallidum,715,Pallidum,21.9
Hylobates_lar,88803,NeoW_Frahm,19154,Neocortex white,12.3
Hylobates_lar,88803,Total_insula_volume_L,289,Insular cortex (grey),30.3
Hylobates_lar,88803,Nucleus_subthalamicus,61.6,Nucleus subthalamicus Luysi,25.2
Hylobates_lar,88803,Capsula_interna,693,Capsula interna,25.5
Hylobates_lar,88803,Striatum,4784,Striatum,36.2663366336634
Hylobates_lar,88803,ASG_Sousa,4086.7,Area striata grey,35.8
Hylobates_lar,88803,NeoG_Frahm,46646,Neocortex grey,33.5
Hylobates_lar,88803,Mesencephalon,1459,Mesencephalon,25.2727272727273
Hylobates_lar,88803,Cerebellum,12078,Cerebellum,29.7507692307692
Hylobates_lar,88803,Hippocampus,2673,Hippocampus,25.7
Hylobates_lar,88803,Lateral_cerebellar_nuclei,141.08,Nucleus dentatus cerebelli,24.2
Hylobates_muelleri,98263,LGN_Sousa,162,Corpus geniculatum laterale,23.1
Hylobates_muelleri,98263,Amygdala,,Amygdala,22.2
Hylobates_muelleri,98263,Pallidum,,Pallidum,21.9
Hylobates_muelleri,98263,NeoW_Frahm,,Neocortex white,12.3
Hylobates_muelleri,98263,Total_insula_volume_L,539,Insular cortex (grey),30.3
Hylobates_muelleri,98263,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Hylobates_muelleri,98263,Capsula_interna,,Capsula interna,25.5
Hylobates_muelleri,98263,Striatum,,Striatum,36.2663366336634
Hylobates_muelleri,98263,ASG_Sousa,,Area striata grey,35.8
Hylobates_muelleri,98263,NeoG_Frahm,,Neocortex grey,33.5
Hylobates_muelleri,98263,Mesencephalon,,Mesencephalon,25.2727272727273
Hylobates_muelleri,98263,Cerebellum,,Cerebellum,29.7507692307692
